"sequence","level","type","identifier","name","datatype","multiplicity","domain_name","definition","module","class_term","id","path","semantic_path","abbreviation_path","label_local","definition_local","element","xpath","binding_scope","value_name","value_role","value_source","default_value","unit_ref_rule","decimals"
"0","0","D","","contextRef","Identifier","1..1","","Default XBRL context reference.","xbrl-gl","Document","DOC-CONTEXT","/DOC-CONTEXT","","","","Default XBRL context reference. May be overridden at runtime.","","","document","contextRef","context","runtime_parameter","now","none",""
"0","0","D","","xbrlRoot","","1..1","","XBRL instance document root.","xbrl-gl","Document","DOC-ROOT","/DOC-ROOT","","","","XBRL instance root element.","xbrli:xbrl","/xbrli:xbrl","document","xbrlRoot","document_root","xbrl_instance","","none",""
"1","0","C","","Invoice","","1..1","","EN 16931 invoice semantic root.","en16931","Invoice","BG-ROOT","/BG-ROOT","$.invoice","invoice","Invoice","Semantic parent group for ADS XBRL GL binding.","gl-cor:accountingEntries","/xbrli:xbrl/gl-cor:accountingEntries","container","Invoice","semantic_group","structured_csv_group","","none",""
"2","1","A","","Invoice Number","Identifier","1..1","","An invoice shall have an invoice number.","en16931","Invoice","BT-1","/BG-ROOT/BT-1","$.invoice.invoiceNumber","invoice.invoiceNumber","Invoice_ID","Unique identifier for each invoice. This ID may need to be created by concatenating fields such as document number, document type, and year to uniquely identify each transaction. The same ID must be used for all tables with invoice data.","gl-cor:documentReference","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:documentReference","fact","Invoice_ID","xbrl_fact","structured_csv_column","","none",""
"2","1","A","","Invoice Number","Identifier","1..1","","An invoice shall have an invoice number.","en16931","Invoice","BT-1","/BG-ROOT/BT-1","$.invoice.invoiceNumber","invoice.invoiceNumber","Invoice_Number","Identification number for an externally generated invoice.","gl-cor:documentNumber","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:documentNumber","fact","Invoice_Number","xbrl_fact","structured_csv_column","","none",""
"3","1","A","","Invoice Issue Date","Date","1..1","","The date when the invoice was issued.","en16931","Invoice","BT-2","/BG-ROOT/BT-2","$.invoice.invoiceIssueDate","invoice.invoiceIssueDate","Invoice_Date","The date of the invoice, regardless of the date the invoice is entered. This is the date from which the due date is calculated based on the invoice terms.","gl-cor:documentDate","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:documentDate","fact","Invoice_Date","xbrl_fact","structured_csv_column","","none",""
"3","1","A","","Invoice Issue Date","Date","1..1","","The date when the invoice was issued.","en16931","Invoice","BT-2","/BG-ROOT/BT-2","$.invoice.invoiceIssueDate","invoice.invoiceIssueDate","Invoice_Fiscal_Year","Fiscal year in which the Invoice_Date occurs.","gl-bus:fiscalYearEnd","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:fiscalYearEnd","fact","Invoice_Fiscal_Year","xbrl_fact","structured_csv_column","","none",""
"3","1","A","","Invoice Issue Date","Date","1..1","","The date when the invoice was issued.","en16931","Invoice","BT-2","/BG-ROOT/BT-2","$.invoice.invoiceIssueDate","invoice.invoiceIssueDate","Invoice_Period","Fiscal period in which the Invoice_Date occurs.","gl-bus:postingCode","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:postingCode","fact","Invoice_Period","xbrl_fact","structured_csv_column","","none",""
"5","1","D","","documentCurrency","Code","1..1","","Default XBRL unit for generated invoice monetary facts.","xbrl-gl","Document","DOC-CURRENCY","/DOC-CURRENCY","$.invoice.documentCurrencyCode","invoice.documentCurrencyCode","Document currency code","Currency used as the default unit for generated invoice monetary facts.","","","document","DocumentCurrencyCode","unit","structured_csv_column","","DocumentCurrencyCode",""
"5","1","A","","Document Currency Code","Code","1..1","","The currency in which all Invoice amounts are given, except for the Total VAT amount in accounting currency.","en16931","Invoice","BT-5","/BG-ROOT/BT-5","$.invoice.documentCurrencyCode","invoice.documentCurrencyCode","Invoice_Amount_Currency","The functional or group currency related to the invoice amount. See ISO 4217 coding.","gl-muc:amountCurrency","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-muc:amountCurrency","fact","Invoice_Amount_Currency","xbrl_fact","structured_csv_column","","none",""
"6","1","D","","taxAccountingCurrency","Code","0..1","","XBRL unit for VAT accounting currency facts.","xbrl-gl","Document","DOC-TAX-CURRENCY","/DOC-TAX-CURRENCY","$.invoice.taxAccountingCurrencyCode","invoice.taxAccountingCurrencyCode","VAT accounting currency code","Currency used for VAT accounting currency facts when such facts are bound.","","","document","TaxAccountingCurrencyCode","unit","structured_csv_column","","TaxAccountingCurrencyCode",""
"9","1","A","","Payment Due Date","Date","0..1","","The date when the payment is due.","en16931","Invoice","BT-9","/BG-ROOT/BT-9","$.invoice.paymentDueDate","invoice.paymentDueDate","Invoice_Due_Date","The date payment is due to the supplier. Not all transactions will have a due date. Aging of a payable is usually calculated based on this date.","gl-cor:maturityDate","/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:maturityDate","fact","Invoice_Due_Date","xbrl_fact","structured_csv_column","","none",""
