sequence,level,type,id,name,datatype,multiplicity,semantic_path,syntax_sequence,syntax_path,default_value,transformation,required,note
1,1,C,BG-ROOT,Invoice,,1..1,$.invoice,0000,/rsm:CrossIndustryInvoice,,,,CII D16B reversible occurrence context.
2,2,A,BT-1,Invoice number,Identifier,1..1,$.invoice.invoiceNumber,0000.0002.0001,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:ID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
3,2,A,BT-2,Invoice issue date,Date,1..1,$.invoice.invoiceIssueDate,0000.0002.0004.0001,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IssueDateTime/udt:DateTimeString[@format='102'],,cii_date_format_102,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. CII format='102' is encoded as an executable terminal predicate and shall be materialized during reverse serialization.
4,2,A,BT-3,Invoice type code,Code,1..1,$.invoice.invoiceTypeCode,0000.0002.0003,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:TypeCode,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
5,2,A,BT-5,Document currency code,Code,1..1,$.invoice.documentCurrencyCode,0000.0003.0004.0008,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:InvoiceCurrencyCode,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
6,2,A,BT-6,Tax accounting currency code,Code,0..1,$.invoice.taxAccountingCurrencyCode,0000.0003.0004.0007,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:TaxCurrencyCode,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
7,2,A,BT-7,Value added tax point date,Date,0..1,$.invoice.valueAddedTaxPointDate,0000.0003.0004.0023.0017.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax[ram:TypeCode='VAT']/ram:TaxPointDate/udt:DateString[@format='102'],,cii_date_format_102,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. CII format='102' is encoded as an executable terminal predicate and shall be materialized during reverse serialization.
8,2,A,BT-8,Value added tax point date code,Code,0..1,$.invoice.valueAddedTaxPointDateCode,0000.0003.0004.0023.0021,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax[ram:TypeCode='VAT']/ram:DueDateTypeCode,,cii_header_tax_point_singleton,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
9,2,A,BT-9,Payment due date,Date,0..1,$.invoice.paymentDueDate,0000.0003.0004.0028.0005.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradePaymentTerms/ram:DueDateDateTime/udt:DateTimeString[@format='102'],,cii_date_format_102,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. CII format='102' is encoded as an executable terminal predicate and shall be materialized during reverse serialization.
10,2,A,BT-10,Buyer reference,Text,0..1,$.invoice.buyerReference,0000.0003.0002.0002,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerReference,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
11,2,A,BT-11,Project reference,Identifier,0..1,$.invoice.projectReference,0000.0003.0002.0026.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SpecifiedProcuringProject[ram:Name='Project reference']/ram:ID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD. Fixed ram:Name='Project reference' is encoded as an executable parent predicate.
12,2,A,BT-12,Contract reference,Identifier,0..1,$.invoice.contractReference,0000.0003.0002.0017.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:ContractReferencedDocument/ram:IssuerAssignedID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
13,2,A,BT-13,Purchase order reference,Identifier,0..1,$.invoice.purchaseOrderReference,0000.0003.0002.0014.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerOrderReferencedDocument/ram:IssuerAssignedID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
14,2,A,BT-14,Sales order reference,Identifier,0..1,$.invoice.salesOrderReference,0000.0003.0002.0013.0001,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerOrderReferencedDocument/ram:IssuerAssignedID,,,,Mapped from CEN/TS 16931-3-3:2020 to the 213-row EN CIUS HMD.
