sequence,module,level,type,identifier,name,datatype,multiplicity,association_role,definition,label_local,definition_local,source_bsm_id,semantic_path,associated_module,class_term,local_name,xpath
1,en16931,1,C,,Invoice,,1..1,,"Project-defined Invoice in the Invoice context, represented as structured information.",,,BG-ROOT,$.invoice,,Invoice,Invoice,/xbrli:xbrl/en:Invoice
2,en16931,2,A,,Invoice number,Identifier,1..1,,"Project-defined Invoice number in the Invoice context, represented as Identifier.",,,BT-1,$.invoice.invoiceNumber,,Invoice,InvoiceNumber,/xbrli:xbrl/en:Invoice/en:InvoiceNumber
3,en16931,2,A,,Invoice issue date,Date,1..1,,"Project-defined Invoice issue date in the Invoice context, represented as Date.",,,BT-2,$.invoice.invoiceIssueDate,,Invoice,InvoiceIssueDate,/xbrli:xbrl/en:Invoice/en:InvoiceIssueDate
4,en16931,2,A,,Invoice type code,Code,1..1,,"Project-defined Invoice type code in the Invoice context, represented as Code.",,,BT-3,$.invoice.invoiceTypeCode,,Invoice,InvoiceTypeCode,/xbrli:xbrl/en:Invoice/en:InvoiceTypeCode
5,en16931,2,A,,Document currency code,Code,1..1,,"Project-defined Document currency code in the Invoice context, represented as Code.",,,BT-5,$.invoice.documentCurrencyCode,,Invoice,DocumentCurrencyCode,/xbrli:xbrl/en:Invoice/en:DocumentCurrencyCode
6,en16931,2,A,,Tax accounting currency code,Code,0..1,,"Project-defined Tax accounting currency code in the Invoice context, represented as Code.",,,BT-6,$.invoice.taxAccountingCurrencyCode,,Invoice,TaxAccountingCurrencyCode,/xbrli:xbrl/en:Invoice/en:TaxAccountingCurrencyCode
7,en16931,2,A,,Value added tax point date,Date,0..1,,"Project-defined Value added tax point date in the Invoice context, represented as Date.",,,BT-7,$.invoice.valueAddedTaxPointDate,,Invoice,ValueAddedTaxPointDate,/xbrli:xbrl/en:Invoice/en:ValueAddedTaxPointDate
8,en16931,2,A,,Value added tax point date code,Code,0..1,,"Project-defined Value added tax point date code in the Invoice context, represented as Code.",,,BT-8,$.invoice.valueAddedTaxPointDateCode,,Invoice,ValueAddedTaxPointDateCode,/xbrli:xbrl/en:Invoice/en:ValueAddedTaxPointDateCode
9,en16931,2,A,,Payment due date,Date,0..1,,"Project-defined Payment due date in the Invoice context, represented as Date.",,,BT-9,$.invoice.paymentDueDate,,Invoice,PaymentDueDate,/xbrli:xbrl/en:Invoice/en:PaymentDueDate
10,en16931,2,A,,Buyer reference,Text,0..1,,"Project-defined Buyer reference in the Invoice context, represented as Text.",,,BT-10,$.invoice.buyerReference,,Invoice,BuyerReference,/xbrli:xbrl/en:Invoice/en:BuyerReference
11,en16931,2,A,,Project reference,Identifier,0..1,,"Project-defined Project reference in the Invoice context, represented as Identifier.",,,BT-11,$.invoice.projectReference,,Invoice,ProjectReference,/xbrli:xbrl/en:Invoice/en:ProjectReference
12,en16931,2,A,,Contract reference,Identifier,0..1,,"Project-defined Contract reference in the Invoice context, represented as Identifier.",,,BT-12,$.invoice.contractReference,,Invoice,ContractReference,/xbrli:xbrl/en:Invoice/en:ContractReference
13,en16931,2,A,,Purchase order reference,Identifier,0..1,,"Project-defined Purchase order reference in the Invoice context, represented as Identifier.",,,BT-13,$.invoice.purchaseOrderReference,,Invoice,PurchaseOrderReference,/xbrli:xbrl/en:Invoice/en:PurchaseOrderReference
